rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,0,-0.1,-0.2,0.1846,0.1472,0.1784,0.2169,0.3966,0.3399,0.3775,0.3641,25.3914,30.5515,25.7643,19.7311,0.2598,0.1238,0.1025,4.625
0,0,-0.04,-0.12,0.273,0.1993,0.2709,0.3305,0.3418,0.2468,0.3806,0.4025,18.9821,24.0666,19.1268,13.9675,0.3987,0.174,0.2269,4.5
0,0,0.02,-0.04,0.3261,0.2562,0.3075,0.3326,0.3727,0.2922,0.3623,0.3972,9.8051,13.5909,10.2931,10.4827,0.5654,0.1999,0.4232,4.25
0,0,0.08,0.04,0.3345,0.2868,0.2933,0.2785,0.3624,0.2761,0.2871,0.307,9.6269,11.968,10.5237,13.126,0.5972,0.2146,0.4851,4.375
0,0,0.14,0.12,0.283,0.2697,0.3147,0.2352,0.265,0.1966,0.3215,0.2792,13.6246,12.9309,13.4106,18.6683,0.6815,0.2088,0.5936,4.625
0,0,0.22,-0.2,0.1308,0.1399,0.1068,0.1887,0.1645,0.1819,0.1019,0.1871,12.9345,14.1935,13.7128,15.4064,0.5997,0.2089,0.4873,5.75
0,0,0.28,-0.12,0.1706,0.2051,0.1575,0.1752,0.2183,0.241,0.1227,0.1518,12.38,12.9515,13.3611,16.2603,0.6119,0.2173,0.5145,5.75
0,1,-0.06,-0.04,0.3316,0.2506,0.2931,0.3255,0.4187,0.3269,0.3674,0.3664,18.4303,23.5292,19.0023,14.0574,0.3893,0.1709,0.2299,4.375
0,1,0.0,0.04,0.3952,0.3359,0.3269,0.2984,0.467,0.3569,0.3678,0.3944,9.4722,10.0506,10.318,14.9171,0.6412,0.2105,0.5464,4.75
0,1,0.06,0.12,0.3748,0.3244,0.3409,0.2814,0.3783,0.2711,0.3373,0.3347,10.5351,10.8658,11.0225,15.811,0.6565,0.2141,0.5563,4.0
0,1,0.14,-0.2,0.1895,0.2066,0.1732,0.2396,0.2412,0.2818,0.2167,0.2885,11.6237,12.9433,12.126,13.9114,0.5924,0.2125,0.4802,5.5
0,1,0.2,-0.12,0.1606,0.1818,0.1578,0.1872,0.22,0.2325,0.1547,0.1907,11.8321,12.6489,12.5989,15.4834,0.6051,0.2191,0.5103,5.5
