rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,0,-0.1,-0.2,0.1041,0.0812,0.1011,0.1286,0.3305,0.2442,0.3171,0.3433,27.683,32.9612,28.0455,21.6953,0.2098,0.0995,0.0604,4.625
0,0,-0.04,-0.12,0.3491,0.2578,0.3074,0.3424,0.4607,0.3422,0.3776,0.3961,16.9611,22.2343,17.6773,12.6459,0.4105,0.1895,0.2453,4.125
0,0,0.02,-0.04,0.4394,0.3742,0.4124,0.3517,0.4774,0.3876,0.439,0.4138,8.3914,10.839,9.0352,12.2648,0.5927,0.2222,0.4864,5.125
0,0,0.08,0.04,0.3513,0.3614,0.332,0.2591,0.4613,0.4431,0.4048,0.3851,15.6158,12.6045,15.8645,22.19,0.7461,0.2078,0.6802,5.625
0,0,0.14,0.12,0.2617,0.3086,0.245,0.1512,0.428,0.5092,0.3928,0.2813,23.6548,19.4568,23.7001,30.5517,0.8149,0.1837,0.8181,6.0
0,0,0.22,-0.2,0.2535,0.2991,0.2364,0.21,0.2829,0.3361,0.2032,0.1926,12.3103,12.1268,13.1463,16.7325,0.6184,0.2165,0.5301,5.25
0,0,0.28,-0.12,0.1426,0.1603,0.1039,0.0559,0.2223,0.2533,0.145,0.0986,20.8798,17.3069,21.1727,27.5711,0.7859,0.1848,0.7535,4.75
0,1,-0.06,-0.04,0.3424,0.2572,0.3126,0.357,0.5005,0.3876,0.4434,0.4519,20.0216,25.3432,20.5586,14.8296,0.3582,0.1626,0.1875,4.25
0,1,0.0,0.04,0.3668,0.3236,0.3414,0.3067,0.4407,0.3364,0.3747,0.3828,9.0906,10.2233,9.798,14.1102,0.634,0.2167,0.5293,4.75
0,1,0.06,0.12,0.2946,0.3165,0.301,0.209,0.4583,0.4539,0.4641,0.3785,19.54,15.8841,19.549,26.2722,0.7523,0.2311,0.7498,5.375
0,1,0.14,-0.2,0.2667,0.2601,0.2269,0.2421,0.2998,0.2908,0.1861,0.2107,11.5574,13.7147,12.7733,14.1117,0.5662,0.2213,0.4582,5.125
0,1,0.2,-0.12,0.2469,0.2899,0.2188,0.1882,0.2752,0.3312,0.1916,0.1698,13.9723,12.8443,14.7595,18.9764,0.6519,0.2026,0.5665,5.0
0,1,0.26,-0.04,0.1231,0.1402,0.0825,0.0342,0.2152,0.2497,0.1316,0.0757,25.2619,21.2424,25.4346,32.1243,0.8529,0.163,0.836,4.625
0,2,-0.08,0.04,0.2394,0.1775,0.2219,0.296,0.4379,0.3322,0.4175,0.4708,22.7329,28.0457,23.125,16.9124,0.3221,0.1508,0.1425,4.0
0,2,-0.02,0.12,0.3955,0.338,0.3558,0.3183,0.4713,0.3745,0.4258,0.4341,9.7822,9.9232,10.2849,15.2686,0.643,0.2273,0.5568,4.5
0,2,0.06,-0.2,0.3674,0.3291,0.3369,0.3519,0.4092,0.3696,0.3513,0.3672,12.0624,16.3725,12.8196,10.5834,0.489,0.2099,0.3575,4.875
0,2,0.12,-0.12,0.2763,0.2678,0.2393,0.2437,0.2936,0.2743,0.1792,0.1975,11.7563,12.7276,12.8988,15.8189,0.6078,0.2186,0.5103,4.75
0,2,0.18,-0.04,0.1704,0.1873,0.133,0.0641,0.2482,0.2665,0.1749,0.1167,20.2304,16.7528,20.5177,26.9367,0.7815,0.192,0.7436,4.625
