rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,0,-0.1,-0.2,0.1855,0.1771,0.1734,0.211,0.5266,0.562,0.4403,0.4549,25.5322,30.3284,26.1192,19.9549,0.256,0.132,0.0987,4.625
0,0,-0.04,-0.12,0.4134,0.4033,0.3734,0.3974,0.6025,0.6515,0.5215,0.4931,17.6477,22.1523,18.3475,13.2919,0.3946,0.1709,0.2293,4.625
0,0,0.02,-0.04,0.4939,0.5012,0.4546,0.4213,0.5626,0.5782,0.4942,0.4873,8.0949,10.5902,9.0365,10.9641,0.5719,0.2197,0.4561,4.25
0,0,0.08,0.04,0.3788,0.4069,0.3269,0.2836,0.4542,0.4789,0.3343,0.3096,11.7376,10.4509,12.7581,17.5518,0.6535,0.2296,0.5711,4.75
0,0,0.14,0.12,0.3685,0.4188,0.336,0.2683,0.4442,0.4987,0.3498,0.305,14.776,11.7047,15.3538,21.2744,0.7183,0.1983,0.6477,5.0
0,0,0.22,-0.2,0.3956,0.4847,0.4007,0.3576,0.483,0.5676,0.4379,0.4324,12.458,10.0162,12.8715,17.949,0.7066,0.1712,0.589,5.625
0,0,0.28,-0.12,0.3484,0.4999,0.3846,0.3263,0.4836,0.6434,0.445,0.4013,15.0379,11.9859,15.3911,19.6153,0.665,0.203,0.5678,6.375
0,1,-0.06,-0.04,0.3711,0.3609,0.3397,0.378,0.5901,0.6299,0.5004,0.4875,18.875,23.4258,19.6001,14.3012,0.3842,0.1616,0.2105,4.25
0,1,0.0,0.04,0.3637,0.2855,0.3112,0.2847,0.4133,0.2668,0.3535,0.3671,10.1054,10.7965,10.7142,15.4003,0.6548,0.2082,0.5519,4.75
0,1,0.06,0.12,0.3018,0.2408,0.2597,0.2319,0.3419,0.2319,0.2737,0.2769,13.0285,11.9483,13.5256,18.99,0.7136,0.1897,0.6121,4.25
0,1,0.14,-0.2,0.4209,0.4798,0.3995,0.3825,0.4861,0.5246,0.411,0.4447,10.4878,9.9042,11.2746,15.229,0.6413,0.2074,0.5391,5.25
0,1,0.2,-0.12,0.3817,0.5016,0.3911,0.3373,0.4806,0.5871,0.426,0.4103,14.4078,10.9993,14.8083,20.3082,0.7112,0.2038,0.6277,5.875
0,1,0.26,-0.04,0.4053,0.5541,0.4246,0.365,0.4982,0.6505,0.4361,0.4098,11.9427,9.5041,12.5832,16.8475,0.6466,0.1999,0.5491,6.125
0,2,-0.08,0.04,0.3388,0.3247,0.3009,0.3488,0.5897,0.6276,0.4816,0.4795,20.6934,25.3388,21.4578,15.8109,0.3395,0.15,0.1782,4.25
0,2,-0.02,0.12,0.4611,0.4429,0.4179,0.3741,0.5407,0.5783,0.4664,0.4059,9.302,12.613,10.2634,10.5372,0.5437,0.2095,0.4088,4.5
0,2,0.06,-0.2,0.4686,0.508,0.4517,0.4272,0.5369,0.5676,0.4612,0.4634,9.3687,12.1005,10.353,10.9407,0.5648,0.206,0.429,4.875
0,2,0.12,-0.12,0.3897,0.4727,0.3861,0.3567,0.4679,0.5355,0.4189,0.4342,11.7276,10.1149,12.2313,16.7334,0.6577,0.2035,0.5644,5.25
0,2,0.18,-0.04,0.4131,0.5198,0.4261,0.367,0.5097,0.6069,0.4478,0.4301,12.2357,9.7407,12.7992,17.7301,0.6695,0.21,0.5796,5.875
0,2,0.24,0.04,0.4145,0.5229,0.4006,0.3648,0.4912,0.6071,0.396,0.3858,11.0665,9.9891,12.0831,15.5641,0.6358,0.1917,0.52,5.75
0,3,-0.1,0.12,0.236,0.219,0.2088,0.2503,0.5366,0.5477,0.4264,0.4324,24.3752,29.1337,25.1045,19.2118,0.2977,0.1214,0.1231,4.125
0,3,-0.02,-0.2,0.3961,0.3781,0.3752,0.3917,0.5716,0.5837,0.4993,0.4779,17.4804,22.1565,18.1428,13.1257,0.3953,0.1878,0.2341,4.875
0,3,0.04,-0.12,0.4533,0.5201,0.4464,0.4171,0.5331,0.594,0.461,0.4516,9.703,12.3369,10.6472,10.9395,0.5525,0.206,0.4196,4.75
0,3,0.1,-0.04,0.459,0.5345,0.4327,0.3795,0.529,0.5801,0.4392,0.4215,10.2009,9.2075,11.092,15.5992,0.6476,0.2167,0.5456,5.25
0,3,0.16,0.04,0.3929,0.5075,0.387,0.3202,0.4786,0.5929,0.4049,0.3672,12.373,9.6357,13.0007,18.2303,0.6704,0.2079,0.589,5.375
0,3,0.22,0.12,0.4122,0.4733,0.3499,0.3199,0.4683,0.5344,0.3338,0.3411,12.5784,10.3975,13.6611,18.456,0.6662,0.2091,0.5882,5.5
0,4,-0.1,-0.2,0.2016,0.1923,0.1858,0.2183,0.5493,0.5932,0.4494,0.4444,25.066,29.8517,25.6984,19.624,0.2726,0.1281,0.1042,4.625
0,4,-0.04,-0.12,0.4122,0.4055,0.3836,0.4015,0.5864,0.6319,0.5184,0.4924,17.4794,21.954,18.1219,13.1504,0.4041,0.1766,0.2348,4.625
0,4,0.02,-0.04,0.4448,0.4722,0.4352,0.3956,0.5146,0.5462,0.4795,0.4646,8.8992,11.7584,9.5488,10.5274,0.5618,0.2152,0.4334,4.25
0,4,0.08,0.04,0.3665,0.4009,0.3332,0.2809,0.4327,0.4569,0.3233,0.2929,12.3912,10.683,13.248,18.4209,0.694,0.1919,0.5908,4.75
0,4,0.14,0.12,0.3634,0.3963,0.3117,0.2697,0.4427,0.4715,0.3254,0.3084,14.3388,11.6341,15.0805,20.7497,0.7176,0.2073,0.6377,5.0
0,4,0.22,-0.2,0.3866,0.4861,0.3943,0.3545,0.4754,0.5697,0.4313,0.434,13.2927,10.3657,13.657,18.9545,0.7057,0.1898,0.6091,5.625
0,4,0.28,-0.12,0.355,0.5135,0.3869,0.3157,0.4815,0.6492,0.4391,0.3896,16.3773,12.1705,16.6748,22.0281,0.7248,0.1816,0.6332,6.25
0,5,-0.06,-0.04,0.3735,0.3687,0.3581,0.3904,0.5791,0.634,0.5246,0.5022,19.1582,23.7174,19.6979,14.2881,0.3692,0.1602,0.2038,4.25
0,5,0.0,0.04,0.3804,0.311,0.3527,0.3166,0.4292,0.2961,0.3976,0.3956,9.6679,10.4267,10.1255,14.8845,0.6513,0.207,0.5459,4.75
0,5,0.06,0.12,0.2647,0.2277,0.2624,0.2361,0.2822,0.197,0.2577,0.272,13.8765,12.6522,14.1492,19.5271,0.7068,0.2107,0.6181,4.25
0,5,0.14,-0.2,0.4243,0.4929,0.4072,0.3815,0.5016,0.5549,0.4248,0.4392,10.5836,9.7,11.3781,15.4983,0.646,0.2134,0.5419,5.375
0,5,0.2,-0.12,0.3724,0.4887,0.3719,0.3189,0.4739,0.5814,0.405,0.385,15.0587,11.4595,15.5247,21.1749,0.725,0.189,0.6424,5.75
0,5,0.26,-0.04,0.4146,0.5487,0.4261,0.3702,0.5133,0.6563,0.4493,0.4256,11.7151,9.3587,12.3728,16.6556,0.657,0.1967,0.5486,6.125
0,6,-0.08,0.04,0.312,0.3051,0.294,0.3369,0.5794,0.6339,0.5045,0.4876,21.4227,25.9579,22.0321,16.4151,0.3337,0.1475,0.1689,4.25
0,6,-0.02,0.12,0.5214,0.5089,0.4694,0.4061,0.5845,0.6208,0.5155,0.4486,9.4671,12.7702,10.3854,10.4644,0.5307,0.2158,0.4026,4.5
0,6,0.06,-0.2,0.4534,0.469,0.4249,0.4257,0.5141,0.5184,0.4326,0.4607,10.1305,13.3199,11.1428,10.7963,0.5526,0.2037,0.4121,4.875
